season,date,gid,phase,away,home,away_1p,home_1p,total_1p,u25,ft,et_hour,dow,weekend,away_rest,home_rest,away_r5,home_r5,away_r15_n,home_r15_n,away_r15,home_r15,comb_r5_pct,comb_r15_pct,home_venue_r10,away_road_r10,env_1p_goals,env_1p_sog,env_1p_xg,h2h_last_u25,away_goalie,home_goalie,away_goalie_cls,home_goalie_cls,goalie_pair,total_line,espn_total,espn_books,espn_span
2022,2022-10-17,2022020047,reg,CAR,SEA,1,0,1,1,6,22.0,0,0,3,2,,,2,3,2,3,,,,,1.25,19.59,1.5592,,andersen,grubauer,,,,,,,
2022,2022-10-18,2022020048,reg,ANA,NJD,2,0,2,1,6,19.0,1,0,1,3,,,3,2,2,2,,,,,1.917,21.0,1.9116,,stolarz,blackwood,,,,,,,
2022,2022-10-18,2022020049,reg,BOS,OTT,1,3,4,0,12,19.0,1,0,1,3,,,3,2,3,2,,,,,1.333,23.25,1.8259,,swayman,forsberg,,,,,,,
2022,2022-10-18,2022020050,reg,VAN,CBJ,2,0,2,1,7,19.0,1,0,1,3,,,3,3,3,2,,,,,2.0,17.84,1.4952,,martin,merzlikins,,,,,,,
2022,2022-10-18,2022020051,reg,SJS,NYI,1,0,1,1,7,19.5,1,0,3,3,,,4,2,4,2,,,,,1.25,20.75,2.096,,reimer,varlamov,,,,,,,
2022,2022-10-18,2022020052,reg,LAK,NSH,0,1,1,1,7,21.5,1,0,1,3,,,4,4,2,4,,,,,2.25,21.5,2.0423,,petersen,saros,,,,,6.0,12,1.0
2022,2022-10-18,2022020053,reg,PHI,TBL,0,0,0,1,5,19.0,1,0,3,3,,,2,3,2,2,,,,,2.167,20.16,2.4385,,hart,vasilevskiy,,,,,6.0,12,1.0
2022,2022-10-18,2022020054,reg,BUF,EDM,1,1,2,1,6,21.0,1,0,3,3,,,2,2,1,1,,,,,3.0,25.75,2.0998,,comrie,skinner,,,,,7.0,12,1.5
2022,2022-10-18,2022020055,reg,VGK,CGY,2,0,2,1,5,21.0,1,0,3,3,,,3,2,3,1,,,,,2.25,21.34,2.1068,,thompson,markstrom,,,,,6.5,12,1.0
2022,2022-10-19,2022020056,reg,PHI,FLA,1,2,3,0,7,19.5,2,0,1,2,,,3,3,3,2,,,,,1.5,21.66,2.0618,,sandstrom,bobrovsky,,,,,6.5,10,1.0
2022,2022-10-19,2022020057,reg,WPG,COL,2,0,2,1,7,20.0,2,0,2,2,,,2,3,2,1,,,,,2.083,19.0,1.6692,,hellebuyck,georgiev,,,,,6.5,12,1.0
2022,2022-10-19,2022020058,reg,STL,SEA,3,1,4,0,7,22.0,2,0,4,2,,,1,4,1,4,,,,,1.375,15.25,1.4337,,binnington,jones,,,,,6.0,12,0.5
2022,2022-10-20,2022020059,reg,ANA,BOS,0,0,0,1,3,19.0,3,0,2,2,,,4,4,3,3,,,,,2.25,22.25,2.1079,,gibson,ullmark,,,,,6.5,12,1.0
2022,2022-10-20,2022020060,reg,UTA,MTL,0,3,3,0,8,19.0,3,0,3,3,,,3,4,2,4,,,,,1.125,18.5,1.8737,,ingram,allen,,,,,6.5,12,1.0
2022,2022-10-20,2022020061,reg,DAL,TOR,1,0,1,1,5,19.0,3,0,3,3,,,3,4,3,3,,,,,1.583,20.29,1.9313,,wedgewood,samsonov,,,,,6.5,12,1.0
2022,2022-10-20,2022020062,reg,LAK,PIT,0,3,3,0,7,19.0,3,0,2,3,3,,5,3,3,2,,,,,2.134,20.04,1.9331,,petersen,jarry,,,,,6.5,11,1.0
2022,2022-10-20,2022020063,reg,NSH,CBJ,2,0,2,1,8,19.0,3,0,2,2,5,,5,4,5,3,,,,,1.7,18.95,1.7338,,lankinen,merzlikins,,,,,6.5,12,1.0
2022,2022-10-20,2022020064,reg,SJS,NYR,1,0,1,1,5,19.0,3,0,2,3,5,,5,4,5,2,,,,,1.575,21.02,1.8459,,reimer,shesterkin,,,,,6.0,12,1.0
2022,2022-10-20,2022020065,reg,WSH,OTT,2,0,2,1,7,19.0,3,0,3,2,,,4,3,3,2,,,,,1.875,23.12,1.8211,,kuemper,forsberg,,,,,6.5,12,1.0
2022,2022-10-20,2022020066,reg,NJD,NYI,0,0,0,1,5,19.5,3,0,2,2,,,3,3,3,3,,,,,1.333,19.5,2.0195,,blackwood,sorokin,,,,,6.0,12,1.0
2022,2022-10-20,2022020067,reg,VAN,MIN,2,2,4,0,7,20.0,3,0,2,3,,,4,3,4,0,,,,,3.0,20.54,1.8017,,demko,fleury,,,,,6.5,12,2.0
2022,2022-10-20,2022020068,reg,BUF,CGY,3,1,4,0,9,21.5,3,0,2,2,,,3,3,2,2,,,,,2.667,23.66,2.088,,comrie,markstrom,,,,,6.5,12,1.0
2022,2022-10-20,2022020069,reg,CAR,EDM,0,1,1,1,10,21.0,3,0,3,2,,,3,3,3,2,,,,,1.833,20.5,1.7385,,andersen,campbell,,,,,6.5,12,1.0
2022,2022-10-20,2022020070,reg,WPG,VGK,0,4,4,0,7,22.0,3,0,1,2,,,3,4,3,4,,,,,1.458,20.66,1.7759,,rittich,hill,,,,,6.5,12,1.5
2022,2022-10-21,2022020071,reg,TBL,FLA,1,1,2,1,5,19.5,4,0,3,2,,,4,4,3,2,,,,,1.875,22.88,2.2668,,vasilevskiy,bobrovsky,,,,,6.5,11,1.0
2022,2022-10-21,2022020072,reg,DET,CHI,2,0,2,1,7,20.5,4,0,4,6,,,3,3,2,2,,,,,1.5,20.83,1.7317,,nedeljkovic,mrazek,,,,,6.5,12,3.0
2022,2022-10-21,2022020073,reg,SEA,COL,0,0,0,1,5,21.0,4,0,2,2,4,,5,4,4,2,,,,,2.35,19.77,1.9767,,grubauer,francouz,,,,,6.5,12,2.0
2022,2022-10-22,2022020074,reg,MIN,BOS,1,2,3,0,7,13.0,5,1,2,2,,4,4,5,0,4,,,,,2.9,21.77,1.9422,,fleury,ullmark,,,,,6.5,12,1.0
2022,2022-10-22,2022020075,reg,SJS,NJD,0,0,0,1,3,13.0,5,1,2,2,5,,6,4,6,4,,,,,1.292,17.29,1.6009,,kahkonen,blackwood,,,,,6.5,12,1.0
2022,2022-10-22,2022020076,reg,UTA,OTT,0,2,2,1,8,16.0,5,1,2,2,,,4,4,2,3,,,,,2.125,18.62,1.9658,,vejmelka,forsberg,,,,,6.5,12,2.0
2022,2022-10-22,2022020077,reg,STL,EDM,1,0,1,1,2,16.0,5,1,3,2,,,2,4,1,3,,,,,2.5,20.0,2.0745,,binnington,campbell,,,,,7.0,12,1.5
2022,2022-10-22,2022020078,reg,DAL,MTL,1,1,2,1,7,19.0,5,1,2,2,,4,4,5,4,4,,,,,1.15,20.15,1.8264,,oettinger,allen,,,,,6.0,12,0.5
2022,2022-10-22,2022020079,reg,LAK,WSH,0,0,0,1,7,19.0,5,1,2,2,2,4,6,5,3,4,60.0,,,,2.233,21.79,1.9249,,quick,kuemper,,,,,6.5,12,1.0
2022,2022-10-22,2022020080,reg,NYI,TBL,1,2,3,0,8,19.0,5,1,2,1,,4,4,5,4,4,,,,,1.275,21.15,2.2302,,sorokin,elliott,,,,,6.0,12,1.0
2022,2022-10-22,2022020081,reg,PIT,CBJ,0,2,2,1,9,19.0,5,1,2,2,,4,4,5,2,4,,,,,2.0,19.4,1.8316,,jarry,merzlikins,,,,,6.5,12,1.0
2022,2022-10-22,2022020082,reg,TOR,WPG,1,1,2,1,5,19.0,5,1,2,2,4,,5,4,4,3,,,,,1.825,19.93,1.6718,,samsonov,hellebuyck,,,,,6.5,12,1.5
2022,2022-10-22,2022020083,reg,PHI,NSH,2,0,2,1,4,20.0,5,1,3,2,,5,4,6,3,6,,,,,1.625,19.34,1.7881,,hart,saros,,,,,6.5,12,2.0
2022,2022-10-22,2022020084,reg,BUF,VAN,2,0,2,1,6,22.0,5,1,2,2,,4,4,5,2,4,,,,,2.575,22.2,1.921,,anderson,demko,,,,,6.5,12,1.0
2022,2022-10-22,2022020085,reg,CAR,CGY,2,1,3,0,5,22.0,5,1,2,2,,,4,4,4,2,,,,,2.0,21.38,1.7057,,raanta,markstrom,,,,,6.0,12,1.0
2022,2022-10-22,2022020086,reg,COL,VGK,1,1,2,1,5,22.0,5,1,1,2,3,4,5,5,3,4,70.0,,,,1.9,19.8,1.6034,,georgiev,thompson,,,,,6.5,12,1.0
2022,2022-10-23,2022020087,reg,SEA,CHI,2,2,4,0,9,14.0,6,1,2,2,4,,6,4,5,3,,,,,1.792,17.88,1.7903,,jones,stalock,,,,,6.0,12,2.0
2022,2022-10-23,2022020088,reg,ANA,DET,1,2,3,0,6,17.0,6,1,3,2,4,,5,4,4,3,,,,,1.65,21.25,2.0491,,gibson,husso,,,,,6.5,12,1.0
2022,2022-10-23,2022020089,reg,CBJ,NYR,1,0,1,1,6,17.0,6,1,1,3,4,3,6,5,5,3,70.0,,,,1.8,20.02,1.8756,,tarasov,halak,,,,,6.5,11,2.0
2022,2022-10-23,2022020090,reg,NYI,FLA,0,2,2,1,5,17.0,6,1,1,2,4,3,5,5,4,3,66.7,,,,1.6,22.6,2.1464,1,varlamov,knight,,,,,6.5,12,1.0
2022,2022-10-23,2022020091,reg,SJS,PHI,0,0,0,1,3,19.0,6,1,1,1,5,4,7,5,7,4,90.0,,,,1.472,17.98,1.6992,,reimer,sandstrom,,,,,6.0,12,0.5
2022,2022-10-24,2022020092,reg,DAL,OTT,1,0,1,1,6,19.0,0,0,2,2,5,4,5,5,5,4,90.0,,,,1.8,21.1,2.0013,,wedgewood,hellberg,,,,,6.5,12,1.0
2022,2022-10-24,2022020093,reg,WSH,NJD,1,1,2,1,9,19.0,0,0,2,2,4,5,6,5,5,5,90.0,,,,1.25,18.71,1.5986,,lindgren,blackwood,,,,,6.5,12,1.0
2022,2022-10-24,2022020094,reg,PIT,EDM,2,1,3,0,9,20.0,0,0,2,2,3,4,5,5,3,4,70.0,,80.0,,2.1,21.8,2.0458,,jarry,campbell,,,,,6.5,12,1.5
2022,2022-10-24,2022020095,reg,STL,WPG,0,0,0,1,4,20.0,0,0,2,2,,4,3,5,2,4,,,,,2.1,17.57,1.7421,,greiss,hellebuyck,,,,,6.0,12,1.0
2022,2022-10-24,2022020096,reg,TOR,VGK,0,1,1,1,4,22.0,0,0,2,2,4,4,6,6,5,5,80.0,,,,1.667,19.58,1.7285,,samsonov,thompson,,,,,6.5,12,1.5
2022,2022-10-24,2022020097,reg,CAR,VAN,1,1,2,1,5,22.5,0,0,2,2,4,4,5,6,4,5,80.0,,,,1.767,19.0,1.58,,andersen,demko,,,,,6.5,12,1.0
2022,2022-10-25,2022020098,reg,UTA,CBJ,2,0,2,1,9,19.0,1,0,3,2,3,5,5,7,3,6,80.0,,,60.0,2.029,17.14,1.6856,,ingram,tarasov,,,,,6.5,11,1.0
2022,2022-10-25,2022020099,reg,COL,NYR,1,0,1,1,5,20.0,1,0,3,2,4,3,6,6,4,4,70.0,,,,1.75,19.17,1.8051,,georgiev,shesterkin,,,,,6.5,11,1.0
2022,2022-10-25,2022020100,reg,DAL,BOS,0,1,1,1,4,19.0,1,0,1,3,5,3,6,6,6,4,80.0,,,,1.75,20.91,1.9485,,oettinger,ullmark,,,,,6.0,11,1.0
2022,2022-10-25,2022020101,reg,MIN,MTL,1,0,1,1,4,19.0,1,0,3,3,0,4,5,6,0,5,40.0,,,,2.4,22.14,1.9928,,fleury,allen,,,,,6.5,11,1.0
2022,2022-10-25,2022020102,reg,NJD,DET,2,1,3,0,8,19.0,1,0,1,2,5,3,6,5,6,3,77.8,,,,1.484,19.39,1.8384,1,vanecek,nedeljkovic,,,,,6.5,11,1.0
2022,2022-10-25,2022020103,reg,FLA,CHI,0,2,2,1,6,20.5,1,0,2,2,3,3,6,5,4,3,60.0,,,,2.1,20.52,1.7721,,bobrovsky,stalock,,,,,6.5,11,1.0
2022,2022-10-25,2022020104,reg,PIT,CGY,0,2,2,1,5,21.0,1,0,1,3,3,2,6,5,3,2,50.0,,,,2.683,22.54,2.2133,,desmith,markstrom,,,,,6.5,11,1.0
2022,2022-10-25,2022020105,reg,BUF,SEA,0,2,2,1,6,22.0,1,0,3,2,3,3,5,7,3,5,60.0,,,,2.372,22.81,2.2549,,comrie,jones,,,,,6.5,11,1.0
2022,2022-10-25,2022020106,reg,TBL,LAK,1,1,2,1,6,22.5,1,0,3,3,3,2,6,7,4,4,50.0,,,,2.143,20.59,2.1669,,vasilevskiy,quick,,,,,6.5,11,1.0
2022,2022-10-25,2022020107,reg,VGK,SJS,1,0,1,1,6,22.5,1,0,1,2,4,5,7,8,6,8,90.0,,,,1.357,18.55,1.6153,,hill,reimer,,,,,6.5,11,1.0
2022,2022-10-26,2022020108,reg,NYR,NYI,0,0,0,1,3,19.5,2,0,1,3,4,4,7,6,5,5,80.0,,,,1.381,21.11,2.056,,halak,sorokin,,,,,6.0,11,0.5
2022,2022-10-26,2022020109,reg,EDM,STL,1,0,1,1,4,20.0,2,0,2,2,3,,6,4,4,3,,,,,1.917,20.5,1.9599,1,skinner,binnington,,,,,6.5,10,1.0
2022,2022-10-26,2022020110,reg,TBL,ANA,2,1,3,0,6,22.0,2,0,1,3,4,3,7,6,5,4,70.0,,,80.0,2.0,21.41,2.3014,,elliott,gibson,,,,,6.5,11,1.0
2022,2022-10-27,2022020111,reg,DET,BOS,0,1,1,1,6,19.0,3,0,2,2,2,3,6,7,3,5,50.0,,80.0,,1.929,21.16,1.9598,,husso,swayman,,,,,6.5,11,1.0
2022,2022-10-27,2022020112,reg,FLA,PHI,2,2,4,0,7,19.0,3,0,2,4,4,4,7,6,5,5,88.9,,,,1.75,20.64,1.7988,0,bobrovsky,hart,,,,,6.5,11,1.0
2022,2022-10-27,2022020113,reg,MIN,OTT,2,1,3,0,6,19.0,3,0,2,3,1,4,6,6,1,5,50.0,,,,2.583,21.5,2.1132,,fleury,forsberg,,,,,6.5,11,1.0
2022,2022-10-27,2022020114,reg,MTL,BUF,1,0,1,1,5,19.0,3,0,2,2,4,3,7,6,6,4,70.0,,,,1.75,22.34,2.4127,,montembeault,comrie,,,,,6.5,11,1.0
2022,2022-10-27,2022020115,reg,STL,NSH,1,1,2,1,8,20.0,3,0,1,5,4,5,5,7,4,7,90.0,,,,1.486,18.83,1.7378,,greiss,saros,,,,,6.0,11,1.0
2022,2022-10-27,2022020116,reg,EDM,CHI,1,2,3,0,11,20.5,3,0,1,2,4,4,7,6,5,4,80.0,,,,2.155,18.98,1.7247,,campbell,stalock,,,,,6.5,11,1.0
2022,2022-10-27,2022020117,reg,WSH,DAL,0,1,1,1,2,20.5,3,0,3,2,5,5,7,7,6,7,100.0,,,,1.5,20.79,1.9393,,kuemper,oettinger,,,,,5.5,11,0.5
2022,2022-10-27,2022020118,reg,VAN,SEA,1,2,3,0,9,22.0,3,0,3,2,4,3,7,8,6,6,70.0,,,80.0,2.205,19.66,1.9877,,demko,jones,,,,,6.5,11,1.0
2022,2022-10-27,2022020119,reg,TOR,SJS,1,1,2,1,7,22.5,3,0,3,2,5,5,7,9,6,9,100.0,,,,1.215,18.48,1.7927,,kallgren,kahkonen,,,,,6.5,11,1.0
2022,2022-10-27,2022020120,reg,WPG,LAK,2,3,5,0,10,22.5,3,0,3,2,4,3,6,8,5,5,70.0,,,,2.042,20.04,1.794,,hellebuyck,quick,,,,,6.0,11,1.0
2022,2022-10-28,2022020121,reg,ANA,VGK,0,1,1,1,4,18.0,4,0,2,3,2,4,7,8,4,7,60.0,,,60.0,1.884,20.59,1.8316,,gibson,thompson,,,,,6.5,11,1.0
2022,2022-10-28,2022020122,reg,BOS,CBJ,1,0,1,1,4,19.0,4,0,1,3,3,5,8,8,6,7,80.0,,80.0,,1.812,19.5,1.819,,ullmark,merzlikins,,,,,6.5,11,1.0
2022,2022-10-28,2022020123,reg,COL,NJD,0,0,0,1,1,19.0,4,0,3,3,4,4,7,7,5,6,80.0,,,,1.643,18.79,1.6475,,francouz,vanecek,,,,,6.5,11,2.0
2022,2022-10-28,2022020124,reg,NYI,CAR,1,0,1,1,8,19.0,4,0,2,4,4,4,7,6,6,5,80.0,,,,1.238,20.32,1.8727,,sorokin,andersen,,,,,5.5,11,0.5
2022,2022-10-28,2022020125,reg,PIT,VAN,0,1,1,1,6,22.0,4,0,3,1,3,3,7,8,4,6,60.0,,,,2.259,21.51,2.0543,,jarry,martin,,,,,6.5,11,1.0
2022,2022-10-28,2022020126,reg,WPG,UTA,1,2,3,0,5,22.5,4,0,1,3,3,4,7,6,5,4,70.0,,,,2.226,18.48,1.8344,,rittich,vejmelka,,,,,6.5,11,1.0
2022,2022-10-29,2022020127,reg,NYR,DAL,1,1,2,1,9,14.0,5,1,3,2,4,5,8,8,6,8,90.0,,,,1.312,21.44,2.0602,,shesterkin,oettinger,,,,,5.5,11,0.0
2022,2022-10-29,2022020128,reg,OTT,FLA,0,2,2,1,8,16.0,5,1,2,2,3,3,7,8,5,5,60.0,,,,2.125,22.8,1.963,,forsberg,knight,,,,,6.5,11,1.0
2022,2022-10-29,2022020129,reg,TBL,SJS,2,1,3,0,7,16.5,5,1,3,2,3,5,8,10,5,10,80.0,,100.0,66.7,1.613,18.34,1.9039,,vasilevskiy,reimer,,starter,,,5.5,11,0.5
2022,2022-10-29,2022020130,reg,CAR,PHI,2,0,2,1,7,19.0,5,1,1,2,4,3,7,7,6,5,70.0,,,80.0,1.571,19.21,1.778,,raanta,hart,,,,,6.0,11,1.0
2022,2022-10-29,2022020131,reg,CHI,BUF,1,1,2,1,7,19.0,5,1,2,2,3,4,7,7,4,5,70.0,,,,2.286,20.57,1.9767,,soderblom,anderson,,,,,6.5,11,1.0
2022,2022-10-29,2022020132,reg,MIN,DET,1,1,2,1,3,19.0,5,1,2,2,1,2,7,7,1,4,30.0,,,,2.571,21.71,2.3118,,gustavsson,husso,,,,,6.5,11,1.0
2022,2022-10-29,2022020133,reg,MTL,STL,1,1,2,1,11,19.0,5,1,2,2,4,4,8,6,7,5,80.0,,,,1.25,20.09,2.0287,,allen,binnington,,,,,6.0,11,1.0
2022,2022-10-29,2022020134,reg,TOR,LAK,1,0,1,1,6,19.0,5,1,2,2,5,3,8,9,7,5,80.0,,,,2.028,19.15,1.8718,,samsonov,petersen,,,,,6.5,11,1.0
