date,season,round,away,home,away_1p,home_1p,total_1p,u2.5_hit,game_id
2022-06-22,2021-22,4,COL,TBL,0,1,1,1,2021030414
2022-06-24,2021-22,4,TBL,COL,1,0,1,1,2021030415
2022-06-26,2021-22,4,COL,TBL,0,1,1,1,2021030416
2023-04-17,2022-23,1,FLA,BOS,0,1,1,1,2022030111
2023-04-17,2022-23,1,NYI,CAR,0,1,1,1,2022030131
2023-04-17,2022-23,1,MIN,DAL,1,0,1,1,2022030161
2023-04-17,2022-23,1,LAK,EDM,0,2,2,1,2022030181
2023-04-18,2022-23,1,TBL,TOR,3,0,3,0,2022030121
2023-04-18,2022-23,1,NYR,NJD,2,0,2,1,2022030141
2023-04-18,2022-23,1,SEA,COL,1,1,2,1,2022030151
2023-04-18,2022-23,1,WPG,VGK,0,0,0,1,2022030171
2023-04-19,2022-23,1,FLA,BOS,0,0,0,1,2022030112
2023-04-19,2022-23,1,NYI,CAR,0,1,1,1,2022030132
2023-04-19,2022-23,1,MIN,DAL,1,2,3,0,2022030162
2023-04-19,2022-23,1,LAK,EDM,0,2,2,1,2022030182
2023-04-20,2022-23,1,TBL,TOR,0,3,3,0,2022030122
2023-04-20,2022-23,1,NYR,NJD,0,1,1,1,2022030142
2023-04-20,2022-23,1,SEA,COL,2,0,2,1,2022030152
2023-04-20,2022-23,1,WPG,VGK,1,0,1,1,2022030172
2023-04-21,2022-23,1,BOS,FLA,1,0,1,1,2022030113
2023-04-21,2022-23,1,CAR,NYI,0,0,0,1,2022030133
2023-04-21,2022-23,1,DAL,MIN,0,1,1,1,2022030163
2023-04-21,2022-23,1,EDM,LAK,0,1,1,1,2022030183
2023-04-22,2022-23,1,TOR,TBL,2,2,4,0,2022030123
2023-04-22,2022-23,1,NJD,NYR,0,0,0,1,2022030143
2023-04-22,2022-23,1,COL,SEA,2,1,3,0,2022030153
2023-04-22,2022-23,1,VGK,WPG,2,1,3,0,2022030173
2023-04-23,2022-23,1,BOS,FLA,1,0,1,1,2022030114
2023-04-23,2022-23,1,CAR,NYI,1,0,1,1,2022030134
2023-04-23,2022-23,1,DAL,MIN,0,0,0,1,2022030164
2023-04-23,2022-23,1,EDM,LAK,0,3,3,0,2022030184
2023-04-24,2022-23,1,TOR,TBL,0,2,2,1,2022030124
2023-04-24,2022-23,1,NJD,NYR,1,0,1,1,2022030144
2023-04-24,2022-23,1,COL,SEA,0,2,2,1,2022030154
2023-04-24,2022-23,1,VGK,WPG,1,1,2,1,2022030174
2023-04-25,2022-23,1,NYI,CAR,1,0,1,1,2022030135
2023-04-25,2022-23,1,MIN,DAL,0,2,2,1,2022030165
2023-04-25,2022-23,1,LAK,EDM,2,3,5,0,2022030185
2023-04-26,2022-23,1,FLA,BOS,1,0,1,1,2022030115
2023-04-26,2022-23,1,SEA,COL,0,0,0,1,2022030155
2023-04-27,2022-23,1,TBL,TOR,1,1,2,1,2022030125
2023-04-27,2022-23,1,NYR,NJD,0,1,1,1,2022030145
2023-04-27,2022-23,1,WPG,VGK,0,1,1,1,2022030175
2023-04-28,2022-23,1,BOS,FLA,1,2,3,0,2022030116
2023-04-28,2022-23,1,CAR,NYI,0,1,1,1,2022030136
2023-04-28,2022-23,1,COL,SEA,1,1,2,1,2022030156
2023-04-28,2022-23,1,DAL,MIN,1,0,1,1,2022030166
2023-04-29,2022-23,1,TOR,TBL,0,0,0,1,2022030126
2023-04-29,2022-23,1,NJD,NYR,1,1,2,1,2022030146
2023-04-29,2022-23,1,EDM,LAK,2,1,3,0,2022030186
2023-04-30,2022-23,1,FLA,BOS,1,0,1,1,2022030117
2023-04-30,2022-23,1,SEA,COL,0,0,0,1,2022030157
2023-05-01,2022-23,1,NYR,NJD,0,0,0,1,2022030147
2023-05-02,2022-23,2,FLA,TOR,1,0,1,1,2022030211
2023-05-02,2022-23,2,SEA,DAL,4,2,6,0,2022030231
2023-05-03,2022-23,2,NJD,CAR,0,2,2,1,2022030221
2023-05-03,2022-23,2,EDM,VGK,2,3,5,0,2022030241
2023-05-04,2022-23,2,FLA,TOR,1,2,3,0,2022030212
2023-05-04,2022-23,2,SEA,DAL,0,0,0,1,2022030232
2023-05-05,2022-23,2,NJD,CAR,0,0,0,1,2022030222
2023-05-06,2022-23,2,EDM,VGK,4,0,4,0,2022030242
2023-05-07,2022-23,2,TOR,FLA,1,0,1,1,2022030213
2023-05-07,2022-23,2,CAR,NJD,0,3,3,0,2022030223
